group;entity;key;value;r_time;r_slowdown;r_surface;r_traffic
crossing;node;crossing;island;1;20;-1;-1
crossing;node;crossing;traffic_signals;1;30;-1;-1
crossing;node;crossing;uncontrolled;1;15;-1;-1
crossing;node;crossing;unmarked;1;20;-1;-1
crossing;node;crossing;yes;1;15;-1;-1
crossing;node;crossing;zebra;1;15;-1;-1
crossing;node;highway;crossing;1;15;-1;2
crossing;node;highway;traffic_signals;1;30;-1;3
dismount;way;bicycle;dismount;0.4;0;2;-1
dismount;way;footway;crossing;0.4;0;2;-1
dismount;way;footway;sidewalk;0.4;0;-1;0.5
dismount;way;highway;footway;0.4;0;-1;0.5
dismount;way;highway;"footway;path";0.4;0;-1;0.5
dismount;way;highway;pedestrian;0.4;0;-1;0.5
for_bicycles;relation;route;bicycle;1;0;-1;0.9
for_bicycles;way;bicycle;designated;1;0;-1;0.2
for_bicycles;way;bicycle;permissive;1;0;-1;-1
for_bicycles;way;bicycle;yes;1;0;-1;-1
for_bicycles;way;cycleway;lane;1;0;-1;0.6
for_bicycles;way;cycleway;share_busway;1;0;-1;0.7
for_bicycles;way;cycleway;shared_lane;1;0;-1;0.8
for_bicycles;way;cycleway;track;1;0;-1;0.4
for_bicycles;way;cycleway:left;lane;1;0;-1;0.6
for_bicycles;way;cycleway:left;share_busway;1;0;-1;0.7
for_bicycles;way;cycleway:left;shared_lane;1;0;-1;0.8
for_bicycles;way;cycleway:right;lane;1;0;-1;0.6
for_bicycles;way;cycleway:right;share_busway;1;0;-1;0.7
for_bicycles;way;cycleway:right;shared_lane;1;0;-1;0.8
for_bicycles;way;highway;cycleway;1;0;-1;0.2
motor_roads;way;highway;living_street;1;0;-1;0.5
motor_roads;way;highway;primary;1;0;-1;10
motor_roads;way;highway;primary_link;1;0;-1;10
motor_roads;way;highway;residential;1;0;-1;-1
motor_roads;way;highway;secondary;1;0;-1;6
motor_roads;way;highway;secondary_link;1;0;-1;6
motor_roads;way;highway;service;1;0;-1;-1
motor_roads;way;highway;tertiary;1;0;-1;2
motor_roads;way;highway;tertiary_link;1;0;-1;2
obstacles;way;highway;steps;0.1;0;10;-1
obstacles;node;highway;elevator;1;75;7;-1
obstacles;node;highway;steps;1;25;10;-1
offroad;way;highway;bridleway;0.7;0;2;-1
offroad;way;access;agricultural;0.8;0;2;-1
offroad;way;access;forestry;0.8;0;2;-1
offroad;way;highway;path;0.7;0;2;0.5
offroad;way;highway;track;0.8;0;2;0.5
surface;way;smoothness;bad;0.7;0;3;-1
surface;way;smoothness;excellent;1;0;0.5;-1
surface;way;smoothness;horrible;0.5;0;2;-1
surface;way;smoothness;intermediate;0.8;0;1;-1
surface;way;smoothness;very_bad;0.6;0;4;-1
surface;way;surface;cobblestone;0.7;0;5;-1
surface;way;surface;compacted;0.9;0;1.5;-1
surface;way;surface;dirt;0.7;0;3;-1
surface;way;surface;grass;0.65;0;5;-1
surface;way;surface;gravel;0.5;0;5;-1
surface;way;surface;ground;0.6;0;4;-1
surface;way;surface;mud;0.4;0;5;-1
surface;way;surface;paving_stones;0.75;0;1.5;-1
surface;way;surface;sand;0.6;0;4;-1
surface;way;surface;setts;0.8;0;2;-1
surface;way;surface;unpaved;0.75;0;4;-1
surface;way;surface;wood;0.65;0;4;-1
